altitude[km]	temperature[k]	pressure[hPa]	depth[mg/cm2]	density[mg/cm3]	ndensity[#/cm3]	Hydrogen[%mass]	Helium[%mass]	Oxygen[%mass]	Nitrogen[%mass]	Argon[%mass]
490.6	1289.43	6.54357e-09	9.2065e-07	1.04662e-12	3.67471e+07		0.00474611	0.228117	79.353	20.4118	0.0022792
490.5	1289.43	6.55245e-09	9.31124e-07	1.04812e-12	3.6797e+07		0.00473969	0.227862	79.3401	20.425	0.00228315
490.4	1289.43	6.56134e-09	9.41613e-07	1.04962e-12	3.68469e+07		0.00473327	0.227608	79.3272	20.4382	0.0022871
490.3	1289.43	6.57025e-09	9.52116e-07	1.05113e-12	3.6897e+07		0.00472687	0.227354	79.3143	20.4514	0.00229106
490.2	1289.43	6.57916e-09	9.62635e-07	1.05264e-12	3.69471e+07		0.00472047	0.2271	79.3013	20.4646	0.00229503
490.1	1289.42	6.58809e-09	9.73169e-07	1.05415e-12	3.69973e+07		0.00471408	0.226846	79.2884	20.4778	0.002299
490	1289.42	6.59704e-09	9.83718e-07	1.05566e-12	3.70476e+07		0.0047077	0.226593	79.2754	20.491	0.00230298
489.9	1289.42	6.60599e-09	9.94282e-07	1.05718e-12	3.70979e+07		0.00470132	0.22634	79.2624	20.5042	0.00230697
489.8	1289.42	6.61496e-09	1.00486e-06	1.05869e-12	3.71484e+07		0.00469496	0.226087	79.2495	20.5174	0.00231096
489.7	1289.42	6.62394e-09	1.01546e-06	1.06021e-12	3.71988e+07		0.0046886	0.225834	79.2365	20.5307	0.00231496
489.6	1289.42	6.63294e-09	1.02607e-06	1.06174e-12	3.72494e+07		0.00468225	0.225582	79.2235	20.5439	0.00231897
489.5	1289.41	6.64195e-09	1.03669e-06	1.06326e-12	3.73001e+07		0.0046759	0.22533	79.2105	20.5572	0.00232298
489.4	1289.41	6.65097e-09	1.04733e-06	1.06479e-12	3.73508e+07		0.00466957	0.225078	79.1975	20.5705	0.002327
489.3	1289.41	6.66001e-09	1.05799e-06	1.06632e-12	3.74016e+07		0.00466324	0.224826	79.1844	20.5837	0.00233103
489.2	1289.41	6.66906e-09	1.06866e-06	1.06785e-12	3.74524e+07		0.00465692	0.224575	79.1714	20.597	0.00233506
489.1	1289.41	6.67812e-09	1.07934e-06	1.06939e-12	3.75034e+07		0.00465061	0.224324	79.1584	20.6103	0.0023391
489	1289.41	6.68719e-09	1.09005e-06	1.07093e-12	3.75544e+07		0.0046443	0.224073	79.1453	20.6236	0.00234315
488.9	1289.4	6.69628e-09	1.10076e-06	1.07247e-12	3.76055e+07		0.00463801	0.223822	79.1323	20.6369	0.00234721
488.8	1289.4	6.70539e-09	1.11149e-06	1.07401e-12	3.76567e+07		0.00463172	0.223571	79.1192	20.6503	0.00235127
488.7	1289.4	6.7145e-09	1.12224e-06	1.07555e-12	3.77079e+07		0.00462544	0.223321	79.1061	20.6636	0.00235533
488.6	1289.4	6.72363e-09	1.13301e-06	1.0771e-12	3.77592e+07		0.00461916	0.223071	79.093	20.6769	0.00235941
488.5	1289.4	6.73277e-09	1.14378e-06	1.07865e-12	3.78106e+07		0.00461289	0.222821	79.0799	20.6903	0.00236349
488.4	1289.39	6.74193e-09	1.15458e-06	1.0802e-12	3.78621e+07		0.00460664	0.222572	79.0668	20.7036	0.00236758
488.3	1289.39	6.7511e-09	1.16539e-06	1.08175e-12	3.79136e+07		0.00460038	0.222323	79.0537	20.717	0.00237167
488.2	1289.39	6.76028e-09	1.17621e-06	1.08331e-12	3.79652e+07		0.00459414	0.222074	79.0406	20.7304	0.00237578
488.1	1289.39	6.76947e-09	1.18705e-06	1.08487e-12	3.80169e+07		0.00458791	0.221825	79.0275	20.7437	0.00237988
488	1289.39	6.77868e-09	1.19791e-06	1.08643e-12	3.80687e+07		0.00458168	0.221576	79.0143	20.7571	0.002384
487.9	1289.39	6.78791e-09	1.20878e-06	1.088e-12	3.81206e+07		0.00457546	0.221328	79.0012	20.7705	0.00238812
487.8	1289.38	6.79714e-09	1.21967e-06	1.08956e-12	3.81725e+07		0.00456924	0.22108	78.988	20.7839	0.00239225
487.7	1289.38	6.80639e-09	1.23057e-06	1.09113e-12	3.82245e+07		0.00456304	0.220832	78.9749	20.7974	0.00239639
487.6	1289.38	6.81566e-09	1.24149e-06	1.0927e-12	3.82766e+07		0.00455684	0.220585	78.9617	20.8108	0.00240053
487.5	1289.38	6.82493e-09	1.25243e-06	1.09428e-12	3.83287e+07		0.00455065	0.220337	78.9485	20.8242	0.00240468
487.4	1289.38	6.83423e-09	1.26338e-06	1.09585e-12	3.8381e+07		0.00454447	0.22009	78.9353	20.8377	0.00240884
487.3	1289.38	6.84353e-09	1.27435e-06	1.09743e-12	3.84333e+07		0.00453829	0.219843	78.9221	20.8511	0.00241301
487.2	1289.37	6.85285e-09	1.28533e-06	1.09901e-12	3.84856e+07		0.00453213	0.219597	78.9089	20.8646	0.00241718
487.1	1289.37	6.86218e-09	1.29633e-06	1.1006e-12	3.85381e+07		0.00452597	0.21935	78.8957	20.878	0.00242135
487	1289.37	6.87153e-09	1.30734e-06	1.10218e-12	3.85906e+07		0.00451981	0.219104	78.8824	20.8915	0.00242554
486.9	1289.37	6.88089e-09	1.31837e-06	1.10377e-12	3.86433e+07		0.00451367	0.218858	78.8692	20.905	0.00242973
486.8	1289.37	6.89026e-09	1.32942e-06	1.10536e-12	3.8696e+07		0.00450753	0.218612	78.8559	20.9185	0.00243393
486.7	1289.36	6.89964e-09	1.34048e-06	1.10696e-12	3.87487e+07		0.0045014	0.218367	78.8427	20.932	0.00243814
486.6	1289.36	6.90904e-09	1.35155e-06	1.10855e-12	3.88016e+07		0.00449528	0.218122	78.8294	20.9455	0.00244235
486.5	1289.36	6.91846e-09	1.36265e-06	1.11015e-12	3.88545e+07		0.00448916	0.217877	78.8162	20.959	0.00244657
486.4	1289.36	6.92789e-09	1.37376e-06	1.11175e-12	3.89075e+07		0.00448306	0.217632	78.8029	20.9726	0.0024508
486.3	1289.36	6.93733e-09	1.38488e-06	1.11336e-12	3.89606e+07		0.00447695	0.217387	78.7896	20.9861	0.00245503
486.2	1289.36	6.94679e-09	1.39602e-06	1.11496e-12	3.90137e+07		0.00447086	0.217143	78.7763	20.9997	0.00245927
486.1	1289.35	6.95626e-09	1.40718e-06	1.11657e-12	3.9067e+07		0.00446478	0.216899	78.763	21.0132	0.00246352
486	1289.35	6.96574e-09	1.41836e-06	1.11819e-12	3.91203e+07		0.0044587	0.216655	78.7496	21.0268	0.00246778
485.9	1289.35	6.97524e-09	1.42955e-06	1.1198e-12	3.91737e+07		0.00445263	0.216412	78.7363	21.0404	0.00247204
