\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	1.701 km
	latitude :	-45
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{1.701}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	72.899	141.9	0.1572	0.5875E-05	0.957	0.027	0.016
	72.799	141.9	0.1594	0.5957E-05	0.957	0.027	0.016
	72.699	141.9	0.1616	0.6041E-05	0.957	0.027	0.016
	72.599	141.9	0.1639	0.6125E-05	0.957	0.027	0.016
	72.499	141.9	0.1662	0.6211E-05	0.957	0.027	0.016
	72.399	141.9	0.1685	0.6298E-05	0.957	0.027	0.016
	72.299	142.0	0.1709	0.6387E-05	0.957	0.027	0.016
	72.199	142.0	0.1733	0.6476E-05	0.957	0.027	0.016
	72.099	142.0	0.1757	0.6567E-05	0.957	0.027	0.016
	71.999	142.0	0.1782	0.6659E-05	0.957	0.027	0.016
	71.899	142.0	0.1807	0.6752E-05	0.957	0.027	0.016
	71.799	142.0	0.1832	0.6847E-05	0.957	0.027	0.016
	71.699	142.0	0.1858	0.6942E-05	0.957	0.027	0.016
	71.599	142.0	0.1884	0.7040E-05	0.957	0.027	0.016
	71.499	142.0	0.1910	0.7138E-05	0.957	0.027	0.016
	71.399	142.0	0.1937	0.7238E-05	0.957	0.027	0.016
	71.299	142.0	0.1964	0.7340E-05	0.957	0.027	0.016
	71.199	142.0	0.1992	0.7443E-05	0.957	0.027	0.016
	71.099	142.0	0.2020	0.7547E-05	0.957	0.027	0.016
	70.999	142.0	0.2048	0.7653E-05	0.957	0.027	0.016
	70.899	142.0	0.2077	0.7760E-05	0.957	0.027	0.016
	70.799	142.0	0.2106	0.7869E-05	0.957	0.027	0.016
	70.700	142.0	0.2136	0.7979E-05	0.957	0.027	0.016
	70.600	142.0	0.2166	0.8091E-05	0.957	0.027	0.016
	70.500	142.0	0.2196	0.8204E-05	0.957	0.027	0.016
	70.400	142.0	0.2227	0.8319E-05	0.957	0.027	0.016
	70.300	142.1	0.2258	0.8435E-05	0.957	0.027	0.016
	70.200	142.1	0.2290	0.8554E-05	0.957	0.027	0.016
	70.100	142.1	0.2322	0.8673E-05	0.957	0.027	0.016
	70.000	142.1	0.2355	0.8795E-05	0.957	0.027	0.016
	69.900	142.1	0.2388	0.8918E-05	0.957	0.027	0.016
	69.800	142.1	0.2421	0.9043E-05	0.957	0.027	0.016
	69.700	142.1	0.2455	0.9169E-05	0.957	0.027	0.016
	69.600	142.1	0.2490	0.9298E-05	0.957	0.027	0.016
	69.500	142.1	0.2525	0.9428E-05	0.957	0.027	0.016
	69.400	142.1	0.2560	0.9560E-05	0.957	0.027	0.016
	69.300	142.0	0.2596	0.9694E-05	0.957	0.027	0.016
	69.200	142.0	0.2632	0.9829E-05	0.957	0.027	0.016
	69.100	142.0	0.2669	0.9967E-05	0.957	0.027	0.016
	69.000	142.0	0.2707	0.1011E-04	0.957	0.027	0.016
	68.900	142.0	0.2744	0.1025E-04	0.957	0.027	0.016
	68.800	142.0	0.2783	0.1039E-04	0.957	0.027	0.016
	68.700	142.0	0.2822	0.1054E-04	0.957	0.027	0.016
	68.600	142.0	0.2861	0.1068E-04	0.957	0.027	0.016
	68.500	142.0	0.2902	0.1083E-04	0.957	0.027	0.016
	68.400	142.0	0.2942	0.1099E-04	0.957	0.027	0.016
	68.300	142.0	0.2983	0.1114E-04	0.957	0.027	0.016
	68.200	142.0	0.3025	0.1130E-04	0.957	0.027	0.016
	68.100	142.0	0.3068	0.1145E-04	0.957	0.027	0.016
	68.000	142.0	0.3111	0.1161E-04	0.957	0.027	0.016
	67.900	142.0	0.3154	0.1178E-04	0.957	0.027	0.016
	67.800	142.0	0.3198	0.1194E-04	0.957	0.027	0.016
	67.700	142.0	0.3243	0.1211E-04	0.957	0.027	0.016
	67.600	142.0	0.3289	0.1228E-04	0.957	0.027	0.016
	67.500	142.0	0.3335	0.1245E-04	0.957	0.027	0.016
	67.400	142.0	0.3381	0.1262E-04	0.957	0.027	0.016
	67.300	142.0	0.3429	0.1280E-04	0.957	0.027	0.016
	67.200	142.0	0.3477	0.1298E-04	0.957	0.027	0.016
	67.100	142.0	0.3526	0.1316E-04	0.957	0.027	0.016
	67.000	142.0	0.3575	0.1335E-04	0.957	0.027	0.016
	66.900	142.0	0.3625	0.1353E-04	0.957	0.027	0.016
	66.800	142.0	0.3676	0.1372E-04	0.957	0.027	0.016
	66.700	142.0	0.3727	0.1391E-04	0.957	0.027	0.016
	66.600	142.0	0.3780	0.1411E-04	0.957	0.027	0.016
	66.500	142.0	0.3833	0.1431E-04	0.957	0.027	0.016
	66.400	142.0	0.3886	0.1451E-04	0.957	0.027	0.016
	66.300	142.0	0.3941	0.1471E-04	0.957	0.027	0.016
	66.200	142.0	0.3996	0.1492E-04	0.957	0.027	0.016
	66.100	142.0	0.4052	0.1512E-04	0.957	0.027	0.016
	66.000	142.0	0.4109	0.1534E-04	0.957	0.027	0.016
