\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	-2.4914 km
	latitude :	0
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{-2.4914}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	63.300	147.8	0.4405	0.1580E-04	0.957	0.027	0.016
	63.200	147.8	0.4464	0.1601E-04	0.957	0.027	0.016
	63.100	147.8	0.4524	0.1622E-04	0.957	0.027	0.016
	63.000	147.8	0.4585	0.1644E-04	0.957	0.027	0.016
	62.900	147.8	0.4647	0.1666E-04	0.957	0.027	0.016
	62.800	147.8	0.4709	0.1688E-04	0.957	0.027	0.016
	62.700	147.8	0.4772	0.1711E-04	0.957	0.027	0.016
	62.600	147.9	0.4837	0.1733E-04	0.957	0.027	0.016
	62.500	147.9	0.4902	0.1757E-04	0.957	0.027	0.016
	62.400	147.9	0.4968	0.1780E-04	0.957	0.027	0.016
	62.300	147.9	0.5034	0.1804E-04	0.957	0.027	0.016
	62.200	147.9	0.5102	0.1828E-04	0.957	0.027	0.016
	62.100	147.9	0.5171	0.1852E-04	0.957	0.027	0.016
	62.000	147.9	0.5240	0.1877E-04	0.957	0.027	0.016
	61.900	147.9	0.5311	0.1902E-04	0.957	0.027	0.016
	61.800	148.0	0.5382	0.1927E-04	0.957	0.027	0.016
	61.700	148.0	0.5454	0.1953E-04	0.957	0.027	0.016
	61.600	148.0	0.5528	0.1979E-04	0.957	0.027	0.016
	61.500	148.0	0.5602	0.2006E-04	0.957	0.027	0.016
	61.400	148.0	0.5677	0.2033E-04	0.957	0.027	0.016
	61.300	148.0	0.5754	0.2060E-04	0.957	0.027	0.016
	61.200	148.0	0.5831	0.2087E-04	0.957	0.027	0.016
	61.100	148.1	0.5909	0.2115E-04	0.957	0.027	0.016
	61.000	148.1	0.5989	0.2143E-04	0.957	0.027	0.016
	60.900	148.1	0.6069	0.2172E-04	0.957	0.027	0.016
	60.800	148.1	0.6151	0.2201E-04	0.957	0.027	0.016
	60.700	148.1	0.6233	0.2230E-04	0.957	0.027	0.016
	60.600	148.1	0.6317	0.2260E-04	0.957	0.027	0.016
	60.500	148.1	0.6402	0.2290E-04	0.957	0.027	0.016
	60.400	148.1	0.6488	0.2321E-04	0.957	0.027	0.016
	60.300	148.2	0.6575	0.2352E-04	0.957	0.027	0.016
	60.200	148.2	0.6664	0.2383E-04	0.957	0.027	0.016
	60.100	148.2	0.6753	0.2415E-04	0.957	0.027	0.016
	60.000	148.2	0.6844	0.2447E-04	0.957	0.027	0.016
	59.900	148.2	0.6936	0.2480E-04	0.957	0.027	0.016
	59.800	148.2	0.7028	0.2512E-04	0.957	0.027	0.016
	59.700	148.3	0.7122	0.2546E-04	0.957	0.027	0.016
	59.600	148.3	0.7217	0.2579E-04	0.957	0.027	0.016
